text,label,source,domain,split
"còn khắt khe điểm quá , cho kiểm tra quá nhiều .",negative,UIT-VSFC,education,train
"giảng viên không hướng dẫn sinh viên thực hiện các bài thực hành , không cung cấp tài liệu để sinh viên học tập .",negative,UIT-VSFC,education,train
"giảng dạy cứng nhắc , áp đặp , không thu hút , gò bó sinh viên .",negative,UIT-VSFC,education,train
"giảng dạy hay , đưa ra một số ví dụ thực tế để tăng sinh  động cho tiết dạy .",positive,UIT-VSFC,education,train
cho bài tập nâng cao khả năng tiếng anh .,positive,UIT-VSFC,education,train
em thấy học vậy cũng được rồi .,neutral,UIT-VSFC,education,train
đề cương môn học chưa được cập nhật cho sinh viên .,negative,UIT-VSFC,education,train
thầy cần tập trung thật nhiều vào phần trọng tâm trọng điểm mà môn học đã được đề ra .,negative,UIT-VSFC,education,train
"giảng viên cho bài tập nhiều , đầy đủ .",positive,UIT-VSFC,education,train
bài tập giảng viên cho tại lớp đáp ứng nhu cầu của sinh viên .,positive,UIT-VSFC,education,train
thầy dạy có tâm ạ .,positive,UIT-VSFC,education,train
kiến thức và cách dạy hay .,positive,UIT-VSFC,education,train
thầy rất vui .,positive,UIT-VSFC,education,train
gần gủi với sinh viên .,positive,UIT-VSFC,education,train
thầy dạy nhiệt tình và đúng giờ .,positive,UIT-VSFC,education,train
thường xuyên cho bài tập về nhà giúp sinh viên nắm rõ được kiến thức vững chắc hơn .,negative,UIT-VSFC,education,train
khá tận tình .,positive,UIT-VSFC,education,train
chọn thời gian báo cáo phù hợp cho sinh viên .,positive,UIT-VSFC,education,train
"giảng viên nhiệt tình , đúng giờ .",positive,UIT-VSFC,education,train
"giảng viên tận tâm , nhiệt tình , cho sinh viên thuyết trình các chủ đề cho trước , giúp sinh viên tăng cường khả năng làm việc nhóm .",positive,UIT-VSFC,education,train
"dạy kiến thức khá là cao cấp , vượt hơn khả năng hiểu biết của đa số sinh viên .",negative,UIT-VSFC,education,train
thầy dạy hiểu bài .,positive,UIT-VSFC,education,train
"thầy hay hát vu vơ , nghe cũng hay nhưng cũng rất buồn cười .",positive,UIT-VSFC,education,train
"nâng cấp trang thiết bị , đặc biệt là loa nghe để có chật lượng tốt nhất .",negative,UIT-VSFC,education,train
"giảng viên hướng dẫn rõ , chỉ dẫn từng sinh viên .",positive,UIT-VSFC,education,train
cô không đăng slide bài học lên trước mà chỉ đăng sau khi đã học xong vì thế khi không hiểu thì không có slide để đọc lại .,negative,UIT-VSFC,education,train
"cách dạy của thầy chưa hiệu quả , nhiều lúc còn nâng đỡ một số sinh viên .",negative,UIT-VSFC,education,train
"hình thức báo cáo đồ án cuối kỳ , không thể hiện được khả năng của sinh viên , dễ xảy ra trường hợp một người làm , cả đám người hưởng , vì thầy không yêu cầu bảng phân công công việc và chỉ chấm điểm chung cho cả nhóm dựa trên bài báo cáo được nộp , mặc dù một nhóm thầy quy định là 5 người .",negative,UIT-VSFC,education,train
tăng cường giao lưu thực tiễn tiếng anh .,negative,UIT-VSFC,education,train
"thầy thường xuyên đi trễ , có tuần thì trễ 30 - 45 phút , có một tuần trễ tận 1 tiếng ( lúc này sinh viên đã ra về ) .",negative,UIT-VSFC,education,train
báo nghỉ không rõ ràng .,negative,UIT-VSFC,education,train
không truyền được cảm hứng học tập .,negative,UIT-VSFC,education,train
"truyền đạt kiến thức tốt , thân thiện với sinh viên .",positive,UIT-VSFC,education,train
luôn liên hệ thực tiễn .,positive,UIT-VSFC,education,train
có tương tác với sinh viên .,neutral,UIT-VSFC,education,train
cần có thêm nhiều tài liệu cho sinh viên nghiên cứu .,negative,UIT-VSFC,education,train
tuy nhiên thời gian lên lớp của thầy khá hạn chế và hầu hết thời gian thầy sử dụng chưa hiệu quả .,negative,UIT-VSFC,education,train
khá là tâm huyết .,positive,UIT-VSFC,education,train
cần cung cấp mục tiêu môn học .,negative,UIT-VSFC,education,train
thầy nên nói chậm lại một tí !,negative,UIT-VSFC,education,train
em muốn nhà trường xếp lịch làm sao để chúng em ít bị trùng lịch nhất ạ .,negative,UIT-VSFC,education,train
giảng kỹ dễ hiểu minh họa thực tế .,positive,UIT-VSFC,education,train
deadline các bài tập thực hành không cố định .,negative,UIT-VSFC,education,train
"quá nhiều bài tập , tốn rất nhiều thời gian mà hiệu quả không có .",negative,UIT-VSFC,education,train
thầy còn giảng rất hài hước .,positive,UIT-VSFC,education,train
"chữ cô rất xấu , cô dạy khó hiểu , không giải thích về bài thực hành mà chỉ đưa 3 clip rồi bảo sinh viên làm theo .",negative,UIT-VSFC,education,train
nói chung cũng tạm được .,neutral,UIT-VSFC,education,train
cho ôn tập một đường ra đề một kiểu .,negative,UIT-VSFC,education,train
"rõ ràng , căn bản , thực tế .",positive,UIT-VSFC,education,train
"thầy rất có tâm với sinh viên , thầy không những dạy lý thuyết còn ví dụ những ứng dụng đó ở môi trường làm việc bên ngoài .",positive,UIT-VSFC,education,train
chưa được tham gia chiến dịch thực tế và tham quan công ty .,negative,UIT-VSFC,education,train
"cách dạy hay , tạo động lực cho sinh viên .",positive,UIT-VSFC,education,train
"giảng viên giảng dạy nhiệt tình , có nhiều bài tập hay .",positive,UIT-VSFC,education,train
"cô rất tận tình trong giảng dạy , luôn cải tiến phương pháp dạy .",positive,UIT-VSFC,education,train
tạo điều kiện cho sinh viên .,positive,UIT-VSFC,education,train
"giảng viên nhiệt tình , giảng dạy từ từ , dễ hiểu .",positive,UIT-VSFC,education,train
"những thông tin thầy truyền đạt rất khó hiểu , sinh viên không hình dung được kiến thức đó .",negative,UIT-VSFC,education,train
thầy có chỉ dẫn kỹ càng nhưng do kiến thức môn học quá nhàm chán gây ra đa số sinh viên trong lớp hay cúp học .,negative,UIT-VSFC,education,train
đôi khi còn giảng dạy khô cứng .,negative,UIT-VSFC,education,train
"cô quan tâm sinh viên , giảng bài hay dễ hiểu , yêu cô colonhihi .",positive,UIT-VSFC,education,train
dành quá nhiều thời gian trên lớp để chép bài lên bảng .,negative,UIT-VSFC,education,train
"thầy có kiến thức sâu rộng , chúng em cần phải học hỏi nhiều ở thầy .",positive,UIT-VSFC,education,train
"theo như yêu cầu của môn học , sinh viên phải mang lap để làm bài tập , tuy nhiên ổ cắm trong phòng chỉ có 2 ổ , không đáp ứng được nhu cầu dạy và học của giảng viên lẫn sinh viên .",negative,UIT-VSFC,education,train
cần nâng cao chất lượng cơ sở vật chất hơn .,negative,UIT-VSFC,education,train
giảng viên nên giảng bài cụ thể hơn .,negative,UIT-VSFC,education,train
được giảng viên hướng dẫn cụ thể dễ hiểu .,positive,UIT-VSFC,education,train
giảng viên ít giảng sâu về các ví dụ .,negative,UIT-VSFC,education,train
"giảng viên dạy hay , dễ hiểu , nhiệt tình , khối lượng kiến thức được giảm tải để có thể nhớ phần trọng tâm .",positive,UIT-VSFC,education,train
"thật sự bọn em cũng cạn lời , đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu .",negative,UIT-VSFC,education,train
"thầy dạy giỏi , quan tâm tới học sinh , vui tính , mong là ngày nào đó thầy sẽ dạy lại lớp em .",positive,UIT-VSFC,education,train
môn học rất có ích .,positive,UIT-VSFC,education,train
nên đi sâu hơn vào nhưng vấn đề quan trọng và tránh đi quá sâu vào những vấn đề cơ bản và quen thuộc .,negative,UIT-VSFC,education,train
"bài tập được làm nhiều , ân cần , tận tụy .",positive,UIT-VSFC,education,train
"giảng viên thường hay cho lớp nghỉ , một kỳ nghỉ tới 4 - 5 lần , khả năng truyền đạt cần cải thiện thêm .",negative,UIT-VSFC,education,train
cách truyền đạt chưa thực sự hiệu quả .,negative,UIT-VSFC,education,train
"giảng viên nhiệt tình thân thiện , giảng dạy có kế hoạch , đảm bảo kiến thức .",positive,UIT-VSFC,education,train
cố gắng làm nhiều bài tập hơn nữa .,positive,UIT-VSFC,education,train
thầy nên cho những ví dụ code demo để sinh viên hiểu hơn .,negative,UIT-VSFC,education,train
môn học không hữu ích đối với ngành học của em .,negative,UIT-VSFC,education,train
"phương pháp dạy nhàm chán , chỉ đọc slide .",negative,UIT-VSFC,education,train
"cô dễ thương , giải đáp thắc mắc tận tình .",positive,UIT-VSFC,education,train
"thưa , thầy luôn đặt nền tảng kỹ và cho chúng em tìm tòi học hỏi nâng cao .",positive,UIT-VSFC,education,train
giáo viên để sinh viên tự học nhiều hơn .,negative,UIT-VSFC,education,train
cô dạy tốt truyền đạt hay dễ hiểu .,positive,UIT-VSFC,education,train
"nội dung môn học chưa thống nhất , mỗi giáo viên dạy khác nhau , không thống nhất giữa các năm .",negative,UIT-VSFC,education,train
"giảng viên thực hành quá khắt khe trong việc chấm và nộp bài , xin coi code của bọn em khi bọn em sai hay quên xóa file .",negative,UIT-VSFC,education,train
"giảng viên đến lớp trễ , thường xuyên vắng nhưng không báo trước .",negative,UIT-VSFC,education,train
"thầy nhiệt tình giảng dạy , nhiều vấn đề rất hay cần thiết cho sinh viên .",positive,UIT-VSFC,education,train
chưa bao giờ gặp mặt giáo viên từ lúc bắt đầu học đến bây giờ !,neutral,UIT-VSFC,education,train
"giảng dạy tận tâm , nhiệt tình tạo điều kiện phát triển kiến thức cho sinh viên .",positive,UIT-VSFC,education,train
"giảng viên nhiệt tình , giảng dạy theo hướng mở để sinh viên có thể tự nghiên cứu thêm ngoài chương trình .",positive,UIT-VSFC,education,train
thầy dạy vui và dễ hiểu .,positive,UIT-VSFC,education,train
em rất thích cô .,positive,UIT-VSFC,education,train
giảng viên áp dụng nhiều phương thức giảng dạy độc đáo .,positive,UIT-VSFC,education,train
cần phải có phương pháp giảng dạy linh hoạt và sáng tạo để gây hứng thú cho người học .,negative,UIT-VSFC,education,train
"giáo viên tuyệt vời , đẹp trai , vui tính , đá bóng hay .",positive,UIT-VSFC,education,train
cần thay đổi giáo trình cho phù hợp với kiến thức sinh viên .,negative,UIT-VSFC,education,train
về thái độ giải đáp thắc mắc cho sinh viên của giảng viên cảm giác rất khó chịu làm cho sinh viên không muốn hỏi thêm điều gì nữa .,negative,UIT-VSFC,education,train
"bài giảng dễ hiểu , có kèm theo ví dụ cụ thể , thân thiện với sinh viên , giải đáp ngay khi sinh viên có câu hỏi .",positive,UIT-VSFC,education,train
hài hước .,positive,UIT-VSFC,education,train
thầy dạy rất trầm .,negative,UIT-VSFC,education,train
thầy dạy ứng dụng thực tế nên rất dễ hiểu .,positive,UIT-VSFC,education,train
sinh viên được được thuyết trình nhưng thật sự chưa hiểu quả .,negative,UIT-VSFC,education,train
thầy ra bài tập nhiều nâng cao năng lực thực hành .,positive,UIT-VSFC,education,train
thầy rất gần gũi và hướng dẫn tốt cho sinh viên .,positive,UIT-VSFC,education,train
nhiệt tình và giảng dễ hiểu .,positive,UIT-VSFC,education,train
gộp chung 2 lớp khác khóa lại với nhau dẫn đến sự không cân bằng về kiến thức giữa 2 lớp gây khó khăn cho lớp dưới .,negative,UIT-VSFC,education,train
"thầy tâm lý , dạy hay .",positive,UIT-VSFC,education,train
"thầy dạy tận tình , tạo không khí mới mẻ cho buổi học .",positive,UIT-VSFC,education,train
"giảng viên khá hài hước , mang lại tiếng cười cho lớp trong quá trình giảng dạy .",positive,UIT-VSFC,education,train
kiến thức của cô chuyên sâu .,positive,UIT-VSFC,education,train
giảng viên hay nhớ nhầm việc dạy lớp này sang lớp khác .,negative,UIT-VSFC,education,train
"thầy dạy rất tốt , em cảm thấy dễ hiểu .",positive,UIT-VSFC,education,train
"sinh viên năm 3 trở lên đều có laptop cả rồi , vậy nên vào phòng máy là không cần thiết .",negative,UIT-VSFC,education,train
"máy chiếu phòng wzjwz104 rất hay tắt , mở được một lúc là nóng quá rồi tắt , không sử dụng được nữa .",negative,UIT-VSFC,education,train
"giảng viên nhiệt tình , tận tâm , tích cực trao đổi với sinh viên về kiến thức trong và ngoài chương trình .",positive,UIT-VSFC,education,train
"nói rõ nội dung môn học , mục tiêu .",negative,UIT-VSFC,education,train
vui vẻ .,positive,UIT-VSFC,education,train
"phòng học buổi trưa rất nóng , có thể trang bị thêm quạt thì tốt hơn .",negative,UIT-VSFC,education,train
"thầy rất nhiệt tình , luôn đưa ra những ví dụ thực tế rất sinh động .",positive,UIT-VSFC,education,train
"giáo viên dạy hay , nhiệt tình và cập nhật các kiến thức bên ngoài vào trong bài giảng .",positive,UIT-VSFC,education,train
nhà trường nên cho thực hành mỗi tuần một lần .,negative,UIT-VSFC,education,train
giảng viên ôn thi chuẩn xác .,positive,UIT-VSFC,education,train
lý do doubledot tới ngày thi ngồi ngay 2 máy hư .,negative,UIT-VSFC,education,train
thầy tạo được sự hứng thú với môn học .,positive,UIT-VSFC,education,train
"thời lượng thực hành quá ít , kiến thức mới mà hướng dẫn ít !",negative,UIT-VSFC,education,train
"dạy dễ hiểu , hài hước !",positive,UIT-VSFC,education,train
nhàm chán .,negative,UIT-VSFC,education,train
"nhiệt tình , vui tính .",positive,UIT-VSFC,education,train
"giáo viên dễ tính , dạy hay .",positive,UIT-VSFC,education,train
"nhiệt tình , gần gũi sinh viên .",positive,UIT-VSFC,education,train
"môn học cần được thiết kế chi tiết hơn từng phần học cụ thể để sinh viên dễ tiếp cận như doubledot học lập trình console và win form lẫn lộn , sinh viên chưa có cái nhìn khái quát và tổng thể về vấn đề cần làm dẫn đến khó tìm lối đi trong sự hỗn loạn kiễn thức , không có phương hướng kết quả học tập không cao , không hứng thú và đam mê .",negative,UIT-VSFC,education,train
thầy rất quan tâm đến khó khăn gặp phải của sinh viên trong lúc thực hành .,positive,UIT-VSFC,education,train
"việc truyền đạt kiến thức chưa sâu , em thấy vẫn mông lung sau mỗi tiết học , chỉ hiểu sơ sơ .",negative,UIT-VSFC,education,train
"giáo viên nhiệt tình , truyền đạt tốt .",positive,UIT-VSFC,education,train
"không nên "" hù dọa "" sinh viên ở phía trước mỗi bài toán mà phải biến nó thành đơn giản để thực thi bài toán giảng viên cần phải làm những bài tập mẫu hơn là cho mấy trăm bài tập .",negative,UIT-VSFC,education,train
cách dạy của giáo viên rất tốt .,positive,UIT-VSFC,education,train
dạy hơi nhanh quá .,negative,UIT-VSFC,education,train
"anh wzjwz278 như một người bạn vậy , rất gần gũi , thoải mái khi giao tiếp với sinh viên , kiến thức học được từ anh rất đầy đủ .",positive,UIT-VSFC,education,train
thầy lên lớp không đúng thời gian và không quan tâm sinh viên .,negative,UIT-VSFC,education,train
em thấy phòng thư viện tầng trên mà bọn em học không hề phù hợp với việc học anh văn vì thiết kế bảng và hệ thống máy tính khiến bọn em cứ phải mỏi cổ ngoảnh sang trái hoặc sang phải suốt cả buổi học vì bọn em cũng chả dùng máy tính để làm gì trong giờ học anh văn cả .,negative,UIT-VSFC,education,train
thân thiện với sinh viên .,positive,UIT-VSFC,education,train
"cập nhật tính thời sự trong môn học , cung cấp tài liệu đọc thêm bổ ích .",positive,UIT-VSFC,education,train
"giảng viên dạy rất buồn ngủ , không thu hút sinh viên vào bài giảng .",negative,UIT-VSFC,education,train
giọng hơi khó nghe .,negative,UIT-VSFC,education,train
"giáo trình tốt , kiến thức trọng tâm .",positive,UIT-VSFC,education,train
cô rất dễ thương và được nhiều sinh viên yêu quý ạ .,positive,UIT-VSFC,education,train
cô dạy khá dễ hiểu và cô khá thoải mái .,positive,UIT-VSFC,education,train
hoàn toàn không hài lòng với cách đánh giá của thầy .,negative,UIT-VSFC,education,train
không có gì cả ạ .,neutral,UIT-VSFC,education,train
thầy dạy buồn ngủ .,negative,UIT-VSFC,education,train
giảng viên trợ giúp nhiệt tình .,positive,UIT-VSFC,education,train
qua đó sẽ hiểu được thật sâu và rõ những lý thuyết đã được học .,positive,UIT-VSFC,education,train
giảng viên thường không lên lớp nếu có lên lớp thì chỉ ngồi lỳ một chổ không giảng bài hay hướng dẫn sinh viên thực hành .,negative,UIT-VSFC,education,train
"thầy wzjwz262 nhiệt tình , truyền đạt tốt kiến thức , giới thiệu thêm nhiều nguồn tài liệu cho sinh viên .",positive,UIT-VSFC,education,train
mục tiêu môn học nên đặt ra là doubledot sinh viên được giới thiệu những gì .,negative,UIT-VSFC,education,train
"thầy dạy rất hay , kiến thức rất thực tế , theo sát sinh viên từng bước một , hướng dẫn tận tình tận tâm , truyền đặt kiến thức dễ hiểu , thuyết phục .",positive,UIT-VSFC,education,train
"lớp hay nghỉ , giáo viên chưa tận tình lắm .",negative,UIT-VSFC,education,train
"nhiệt tình , thầy dạy kỹ .",positive,UIT-VSFC,education,train
thầy dạy không tạo được sự hứng thú .,negative,UIT-VSFC,education,train
thầy dạy rất tốt và trả lời các câu hỏi của sinh viên rất nhanh và chính xác .,positive,UIT-VSFC,education,train
"giáo viên tận tâm , nhiệt tình , cách truyền đạt dễ tiếp thu .",positive,UIT-VSFC,education,train
"thầy ví dụ thực tiễn , đáp ứng yêu cầu thực hành .",positive,UIT-VSFC,education,train
"giảng viên tận tâm , tạo sự chủ động trong học tập cho người học .",positive,UIT-VSFC,education,train
thầy thân thiện dạy nhiệt tình .,positive,UIT-VSFC,education,train
đủ tài liệu .,positive,UIT-VSFC,education,train
cách chấm điểm các bài thực hành thông qua quay video thực sự chưa đánh giá đúng khả năng của sinh viên .,negative,UIT-VSFC,education,train
viết quá nhiều .,negative,UIT-VSFC,education,train
"thầy đi dạy luôn đảm bảo thời gian , giải đáp thắc mắc rất nhiệt tình , ra trễ hơn các môn khác từ 15 - 25 phút .",positive,UIT-VSFC,education,train
thầy thường xuyên cho nghỉ trước khi kết thúc giờ học .,negative,UIT-VSFC,education,train
em muốn môn học gần với thực tế qua các ví dụ .,negative,UIT-VSFC,education,train
"giảng dễ hiểu , vui tính và rất thân thiện với sinh viên .",positive,UIT-VSFC,education,train
em có ý kiến là nên hủy môn vật lý kỹ thuật .,negative,UIT-VSFC,education,train
giảng dạy tích cực .,positive,UIT-VSFC,education,train
"sự hướng dẫn thực hành tận tâm , nhiệt tình .",positive,UIT-VSFC,education,train
hy vọng học kỳ tới thầy có thể kết thúc buổi học đúng giờ .,negative,UIT-VSFC,education,train
"giờ thực hành quá ít , bài tập thực hành hằng tuần đều đó , giảng viên hướng dẫn không có nhiều thời gian để hướng dẫn trực tiếp .",negative,UIT-VSFC,education,train
giảng viên có kiến thức chuyên sâu về môn học .,positive,UIT-VSFC,education,train
"nhiệt tình , có tâm huyết .",positive,UIT-VSFC,education,train
"phần khảo sát doubledot các câu hỏi khảo sát quá dài dòng , nhiều câu lập đi lập lại sinh viên chán nản tích tràn lan đánh giá không đúng kết quả khảo sát không được chính xác .",negative,UIT-VSFC,education,train
giáo viên cần cho sinh viên nói nhiều thực hành giao tiếp trên lớp .,negative,UIT-VSFC,education,train
"nên có phần thực hành về tìm hiểu phần cứng , các bộ phận trong máy tính .",negative,UIT-VSFC,education,train
tận tâm tận tình .,positive,UIT-VSFC,education,train
cô giải thích các vấn đề sinh viên đưa ra khá chi tiết !,positive,UIT-VSFC,education,train
nội dung nhập nhằng .,negative,UIT-VSFC,education,train
cô nên hoạt động trên website môn học nhiều hơn .,negative,UIT-VSFC,education,train
"giảng viên hướng dẫn nhiệt tình , chi tiết .",positive,UIT-VSFC,education,train
các thành viên dễ gán kết hơn và có trách nhiệm hơn .,negative,UIT-VSFC,education,train
sử dụng hiệu quả thời gian lên lớp .,positive,UIT-VSFC,education,train
"sự nhiệt tình , tận tâm của giảng viên .",positive,UIT-VSFC,education,train
dạy chi tiết .,positive,UIT-VSFC,education,train
"giảng viên dạy rất nhiệt tình , phản hồi trực tiếp , gián tiếp thắc mắc của sinh viên rất tích cực .",positive,UIT-VSFC,education,train
thay đổi hình thức đánh giá môn học .,negative,UIT-VSFC,education,train
cho bài tập hay .,positive,UIT-VSFC,education,train
cần bổ sung phần kiến thức pattern severside .,negative,UIT-VSFC,education,train
điều đó dẫn đến nhiều sinh viên cũng sẽ phát âm như vậy .,negative,UIT-VSFC,education,train
giao đề tài thiếu công bằng .,negative,UIT-VSFC,education,train
dễ gây nhàm chán .,negative,UIT-VSFC,education,train
thầy dạy rất vui rất kỹ .,positive,UIT-VSFC,education,train
"phòng học còn nóng và bụi bặm , máy chiếu tuy là vẫn thầy được nhưng như thế vẫn là mờ , đề nghị khắc phục vấn đề này .",negative,UIT-VSFC,education,train
cô giảng còn hơi khó hiểu .,negative,UIT-VSFC,education,train
khả năng truyền đạt tốt .,positive,UIT-VSFC,education,train
mỗi ngày khi đến môn học này là một cực hình tra tấn sinh viên cả lớp .,negative,UIT-VSFC,education,train
"giảng viên giảng hay , giúp sinh viên tiếp thu kiến thức hiệu quả .",positive,UIT-VSFC,education,train
giảng đường quá nóng .,negative,UIT-VSFC,education,train
"giảng dạy tốt , nhiệt tình chỉ bảo sinh viên .",positive,UIT-VSFC,education,train
"thầy wzjwz81 là một giảng viên rất tâm huyết với sinh viên , thầy tận tình chỉ dạy tất cả những điều chúng em chưa rõ .",positive,UIT-VSFC,education,train
"thầy dạy nhiệt tình , áp dụng nhiều bài tập , dễ hiểu .",positive,UIT-VSFC,education,train
"đa số giảng sơ sài , chủ yếu là lước qua .",negative,UIT-VSFC,education,train
cho mượn kit về nhà đẻ thực hành .,negative,UIT-VSFC,education,train
"yêu cầu đối với sinh viên cao , nhưng lại không đáp ứng cho sinh viên những kiến thức cần thiết .",negative,UIT-VSFC,education,train
chỉ tham gia chấm điểm không giảng dạy trong giờ thực hành của lớp một lần nào .,negative,UIT-VSFC,education,train
thầy không dạy lý thuyết mà chỉ nói sơ qua về một số bài tập nên em không biết nhận xét gì về thầy .,negative,UIT-VSFC,education,train
làm việc nhóm nhiều .,positive,UIT-VSFC,education,train
nhưng trường lại không sắp xếp được một giờ nào cho sinh viên học .,negative,UIT-VSFC,education,train
khả năng tương tác chưa tốt .,negative,UIT-VSFC,education,train
thầy khá đúng giờ .,positive,UIT-VSFC,education,train
"nội dung bài giảng dễ hiểu , giảng viên nhiệt tình , vui tính .",positive,UIT-VSFC,education,train
nếu trang thiết bị đã không đáp ứng được thì tại sao trường không tạo điều kiện kéo dây mạng cho sinh viên cắm vào laptop .,negative,UIT-VSFC,education,train
có bài tập cuối giờ .,neutral,UIT-VSFC,education,train
không có buổi học bù nào .,negative,UIT-VSFC,education,train
đa số các giờ đều do sinh viên thuyết trình nhưng thực tế sinh viên đứng thuyết trình còn chưa hiểu bài làm sao trình bày lại cho các bạn hiểu .,negative,UIT-VSFC,education,train
giảng viên giảng bài dễ hiểu .,positive,UIT-VSFC,education,train
làm phim khó quá thầy ạ .,negative,UIT-VSFC,education,train
em rất hài lòng về phương pháp giảng dạy của thầy ạ .,positive,UIT-VSFC,education,train
cô wzjwz6 rất nhiệt tình .,positive,UIT-VSFC,education,train
giảng viên rất có tâm huyết .,positive,UIT-VSFC,education,train
tất cả các hoạt động trên lớp .,neutral,UIT-VSFC,education,train
sự tận tình đối với học viên .,positive,UIT-VSFC,education,train
đến lớp dúng giờ !,neutral,UIT-VSFC,education,train
có một số phần giảng viên giải thích hơi khó hiểu .,negative,UIT-VSFC,education,train
"nâng cao trang thiết bị phòng học doubledot máy chiếu , quạt .",negative,UIT-VSFC,education,train
"khả năng truyền đạt không tốt , kiến thức chưa đạt .",negative,UIT-VSFC,education,train
thầy vui tính và thân thiện với sinh viên .,positive,UIT-VSFC,education,train
"giáo viên hướng dẫn thực hành đến lớp trễ , và chưa hướng dẫn sâu sắc để sinh viên dễ dàng nắm được bài .",negative,UIT-VSFC,education,train
"giảng không hiểu , nói nhiều .",negative,UIT-VSFC,education,train
cô rất tận tình với sinh viên .,positive,UIT-VSFC,education,train
"thầy giảng bài tận tâm , nhiệt tình .",positive,UIT-VSFC,education,train
"thầy dạy rất hay , hài hước trong công việc .",positive,UIT-VSFC,education,train
"thiếu nhiệt tình , ít làm bài tập .",negative,UIT-VSFC,education,train
"thích ngủ thì ngủ , ngoài ra chả có gì hài lòng .",negative,UIT-VSFC,education,train
"tên môn học là lập trình ứng dụng web , tuy nhiên chỉ cho lập trình trên ngôn ngữ php , nên rõ ràng trong tên môn học với ngôn ngữ nào .",negative,UIT-VSFC,education,train
"giảng viên vui vẻ , tận tình .",positive,UIT-VSFC,education,train
thầy không dạy nhưng báo trước rất sát giờ và thầy rất hay nghỉ dạy .,negative,UIT-VSFC,education,train
"thầy dạy hay , vui nhiều phần thầy bồ sung có tính thực tiễn cao .",positive,UIT-VSFC,education,train
"giảng viên nhiệt tình , quan tâm đến sinh viên , hiền .",positive,UIT-VSFC,education,train
nhiệt tình tâm huyết .,positive,UIT-VSFC,education,train
"dùng những công nghệ phổ biến , nên tham khảo khung chương trình của khoa để biết sinh viên đã biết được những gì rồi .",negative,UIT-VSFC,education,train
"tốt , dễ hiểu .",positive,UIT-VSFC,education,train
thầy dạy rất dễ hiểu sinh động .,positive,UIT-VSFC,education,train
em không thích cách giảng dạy của thầy wzjwz86 cho lắm .,negative,UIT-VSFC,education,train
giáo viên vui vẻ .,positive,UIT-VSFC,education,train
"cần có nhiều tài liệu để học hơn , có các trò chơi để sinh viên dễ hiểu bài hơn .",negative,UIT-VSFC,education,train
chưa có nhiều kinh nghiệm về kiến thức .,negative,UIT-VSFC,education,train
"cô dạy kỹ , vui tính , quan tâm sinh viên .",positive,UIT-VSFC,education,train
đôi lúc chưa đi sâu vào vấn đề giảng dạy .,negative,UIT-VSFC,education,train
có nhiều bài vận dụng .,positive,UIT-VSFC,education,train
giảng viên nghỉ 3 ngày không có lý do .,negative,UIT-VSFC,education,train
"giảng viên cung cấp đủ kiến thức cần thiết để hiểu rõ phần lý thuyết để thực hành , có các ví dụ mẫu để sinh viên tham khảo .",positive,UIT-VSFC,education,train
chưa giúp sinh viên có thể làm việc nhóm với nhau .,negative,UIT-VSFC,education,train
nói chung là thầy quá tuyệt luôn ạ .,positive,UIT-VSFC,education,train
không biết .,neutral,UIT-VSFC,education,train
nội dung môn học đầy đủ .,positive,UIT-VSFC,education,train
hướng dẫn học sinh giải bài tập tốt .,positive,UIT-VSFC,education,train
"cảm ơn cô đã nhiệt tình hỗ trợ tụi em , giảng lại các nội dung mà thầy lý thuyết lướt qua .",positive,UIT-VSFC,education,train
cô nói rất nhỏ .,negative,UIT-VSFC,education,train
sử dụng máy chiếu slide ví dụ cụ thể hơn .,negative,UIT-VSFC,education,train
không nắm vững được kiến thức môn học .,negative,UIT-VSFC,education,train
thú vị .,positive,UIT-VSFC,education,train
thầy dễ tính .,positive,UIT-VSFC,education,train
"hòa đồng , thân thiện với sinh viên .",positive,UIT-VSFC,education,train
"tận tâm , giảng dạy tốt .",positive,UIT-VSFC,education,train
"thầy nhiệt tình , đi dạy đầy đủ , vui vẻ .",positive,UIT-VSFC,education,train
thầy giảng rất hay .,positive,UIT-VSFC,education,train
"đề nghị cô xem lại tài liệu giảng dạy của mình , slide nên đầu tư kỹ hơn .",negative,UIT-VSFC,education,train
"thầy rất tận tâm , quan tâm tới sinh viên .",positive,UIT-VSFC,education,train
vâng không có ý kiến gì thêm .,neutral,UIT-VSFC,education,train
có nhiều kiến thức mở rộng .,positive,UIT-VSFC,education,train
"tránh tình trạng giảng viên đang dạy thì hết phấn , micro hết pin .",negative,UIT-VSFC,education,train
"em thành thật chia sẻ , khoa nên bỏ môn học này .",negative,UIT-VSFC,education,train
giảng viên chỉ đọc lướt qua slide bài giảng rồi giao bài tập .,negative,UIT-VSFC,education,train
giáo viên giảng bài hơi khó hiểu và không có tài liệu tham khảo trên moodle .,negative,UIT-VSFC,education,train
"giảng dạy nhiệt tình , luôn đổi mới nội dung .",positive,UIT-VSFC,education,train
"đầu tư phòng lab thực hành trên thiết bị thật , có quy mô .",negative,UIT-VSFC,education,train
hay nhiệt tình năng nổ truyền đạt dễ hiểu .,positive,UIT-VSFC,education,train
thầy chuẩn bị bài giảng rất đầy đủ .,positive,UIT-VSFC,education,train
